Gender,State,State_Rate,Height,Weight,BMI,Age,Rate
Male,MA,0.100433676,184,67.8,20.02599244,77,0.332
Male,VA,0.141723188,163,89.4,33.64823667,82,0.869147785
Male,NY,0.090803152,170,81.2,28.09688581,31,0.01
Male,TN,0.119972761,175,99.7,32.55510204,39,0.021532041
Male,FL,0.110344602,184,72.1,21.2960775,68,0.14975
Male,WA,0.162924698,166,98.4,35.70910147,64,0.211237026
Male,NY,0.090803152,178,98.9,31.21449312,67,0.14575
Male,NJ,0.132262017,182,97.1,29.3140925,46,0.03
Male,UT,0.105887424,174,79.3,26.19236359,73,0.26125
Male,PA,0.12856016,168,73.9,26.18339002,81,0.628
Male,AZ,0.114179823,179,72.1,22.50241878,18,0.0105
Male,OH,0.127584239,186,73.5,21.24523066,35,0.0155
Male,CA,0.144250618,165,101.4,37.24517906,64,0.21352531
Male,KY,0.318099535,174,63.5,20.97370855,82,0.778666667
Male,CA,0.144250618,170,100.2,34.67128028,43,0.033003244
Male,NC,0.1797489,189,74.2,20.77209485,26,0.01475
Male,TX,0.100671299,172,68.7,23.2220119,63,0.1105
Male,TX,0.100671299,176,98.2,31.70196281,29,0.010052944
Male,MI,0.116100661,174,78.4,25.89509843,52,0.0695
Male,IN,0.127531359,171,75,25.64891762,27,0.016
Male,NY,0.090803152,178,108.2,34.14972857,50,0.063133127
Male,IL,0.109404745,183,92.8,27.71059154,35,0.01525
Male,NY,0.090803152,183,72.4,21.61903909,32,0.01
Male,CA,0.144250618,185,88.2,25.7706355,70,0.2535
Male,OH,0.127584239,166,64.4,23.3705908,78,0.4085
Male,NC,0.1797489,171,70,23.93898977,54,0.06525
Male,PA,0.12856016,163,64.3,24.20113666,78,0.40875
Male,OH,0.127584239,186,95.9,27.71996763,49,0.03425
Male,NY,0.090803152,178,65.8,20.76757985,74,0.2195
Male,LA,0.139323916,189,67.5,18.89644747,42,0.03125
Male,TX,0.100671299,170,68,23.52941176,30,0.011
Male,CA,0.144250618,181,93,28.38741186,76,0.393
Male,TX,0.100671299,189,95.9,26.84695277,27,0.01
Male,WA,0.162924698,166,85.6,31.0640151,80,0.7325
Male,TX,0.100671299,175,96.1,31.37959184,45,0.03225
Male,FL,0.110344602,180,101.5,31.32716049,77,0.34325
Male,MO,0.114386258,176,86.5,27.92484504,64,0.1245
Male,IA,0.125604724,174,53.9,17.80288017,19,0.006666667
Male,NY,0.090803152,182,90.9,27.44233788,43,0.019
Male,NC,0.1797489,180,63.1,19.47530864,81,0.75925
Male,OH,0.127584239,179,99.3,30.99154209,56,0.07925
Male,KY,0.318099535,183,92.3,27.56128878,64,0.12425
Male,NJ,0.132262017,181,116.5,35.56057507,43,0.039074128
Male,GA,0.137354304,179,99.3,30.99154209,50,0.054
Male,MA,0.100433676,181,104.1,31.77558683,33,0.011518498
Male,MS,0.265578722,177,65.2,20.81138881,84,0.73475
Male,TX,0.100671299,183,102.1,30.4876228,27,0.01
Male,NJ,0.132262017,185,96.8,28.28341855,29,0.013
Male,ID,0.227986218,184,109,32.19517958,60,0.115482632
Male,PA,0.12856016,170,64.5,22.3183391,81,0.628
Male,PA,0.12856016,177,83.2,26.55686425,58,0.0815
Male,LA,0.139323916,183,81.4,24.3064887,42,0.03125
Male,MO,0.114386258,178,66.9,21.11475824,51,0.061
Male,CA,0.144250618,177,63.6,20.30067988,28,0.01075
Male,NC,0.1797489,179,62.5,19.50625761,27,0.01475
Male,PA,0.12856016,181,91.4,27.89902628,41,0.0225
Male,CA,0.144250618,170,77.2,26.71280277,51,0.053
Male,CA,0.144250618,169,99.1,34.69766465,61,0.169103027
Male,NC,0.1797489,177,72.6,23.1734176,61,0.14225
Male,PA,0.12856016,175,76.6,25.0122449,26,0.015666667
Male,CA,0.144250618,190,84.3,23.35180055,26,0.01075
Male,AK,0.257532855,172,98.8,33.3964305,79,0.619341705
Male,RI,0.190780558,175,89.6,29.25714286,80,0.642
Male,MN,0.122278237,182,93.6,28.25745683,38,0.021
Male,GA,0.137354304,171,85.6,29.27396464,73,0.274
Male,SC,0.187358759,185,99.6,29.10153397,21,0.012
Male,MD,0.11715057,178,69.7,21.99848504,61,0.1085
Male,NY,0.090803152,174,80.1,26.45659929,34,0.01
Male,MI,0.116100661,182,103,31.09527835,68,0.2165
Male,IL,0.109404745,182,113.2,34.17461659,41,0.031996475
Male,PA,0.12856016,168,94.5,33.48214286,31,0.017176339
Male,MI,0.116100661,190,105,29.08587258,24,0.01325
Male,CT,0.129071275,172,104.4,35.28934559,67,0.210674351
Male,TX,0.100671299,165,88.2,32.39669421,72,0.269332128
Male,FL,0.110344602,175,86.9,28.3755102,30,0.01425
Male,PA,0.12856016,173,76.1,25.42684353,36,0.01675
Male,FL,0.110344602,183,88.5,26.42658783,58,0.076
Male,NJ,0.132262017,177,69.7,22.24775767,58,0.06625
Male,IL,0.109404745,175,102,33.30612245,44,0.028967602
Male,NE,0.220026075,176,89.3,28.82877066,83,0.80425
Male,NY,0.090803152,171,66.6,22.77623884,27,0.0085
Male,CA,0.144250618,182,77.7,23.45731192,45,0.0355
Male,CA,0.144250618,186,68.4,19.7710718,47,0.0355
Male,NC,0.1797489,180,103.7,32.00617284,24,0.015763889
Male,AZ,0.114179823,174,72.3,23.88030123,74,0.26275
Male,CA,0.144250618,178,98.7,31.15136978,20,0.01075
Male,NC,0.1797489,177,68.9,21.9924032,68,0.2105
Male,NJ,0.132262017,175,75.3,24.5877551,69,0.1485
Male,TX,0.100671299,184,108.3,31.98842155,50,0.052151096
Male,MA,0.100433676,170,93,32.1799308,54,0.046310554
Male,CA,0.144250618,187,112.4,32.14275501,53,0.056784902
Male,NV,0.223737886,183,102.3,30.5473439,81,0.6915
Male,SC,0.187358759,174,115.3,38.08297001,42,0.053967251
Male,TN,0.119972761,170,65.1,22.52595156,45,0.0415
Male,DC,0.001,183,78.9,23.55997492,29,0.001
Male,PA,0.12856016,179,104.5,32.61446272,63,0.137345871
Male,MI,0.116100661,181,89.6,27.3495925,71,0.33475
Male,NC,0.1797489,170,80.4,27.8200692,45,0.043
Male,MA,0.100433676,179,77,24.03170937,59,0.062
Male,GA,0.137354304,168,99.3,35.18282313,56,0.124866869
Male,CA,0.144250618,180,108.4,33.45679012,38,0.019979167
Male,MI,0.116100661,179,82.2,25.65463001,40,0.02975
Male,OK,0.1760191,183,65.3,19.49893995,80,0.815
Male,FL,0.110344602,169,97,33.96239627,23,0.015124044
Male,FL,0.110344602,176,91.9,29.66813017,43,0.023
Male,KS,0.171908422,186,79.2,22.89281998,32,0.0155
Male,TX,0.100671299,188,69.7,19.72046175,20,0.00975
Male,OH,0.127584239,168,64.1,22.7111678,38,0.0155
Male,GA,0.137354304,179,80.1,24.99921975,42,0.02125
Male,NE,0.220026075,164,81.3,30.22754313,69,0.224
Male,OH,0.127584239,173,91.1,30.43870494,65,0.1725
Male,OR,0.189499316,172,65,21.97133586,62,0.129
Male,CA,0.144250618,180,77.7,23.98148148,62,0.11625
Male,NJ,0.132262017,173,56.8,18.97824852,22,0.012666667
Male,WA,0.162924698,178,93.1,29.38391617,82,0.7325
Male,MO,0.114386258,174,101.1,33.39278637,82,0.817981941
Male,OH,0.127584239,184,92.3,27.26252363,39,0.0155
Male,MT,0.254407829,189,100.9,28.24668962,31,0.0315
