1:1: conversion failed: "ID" to int (ID)
9454:81: conversion failed: "*" to float (Data_Value)
9662:81: conversion failed: "*" to float (Data_Value)
12881:72: conversion failed: "*" to float (Data_Value)
12980:72: conversion failed: "*" to float (Data_Value)
13187:72: conversion failed: "*" to float (Data_Value)
13442:72: conversion failed: "*" to float (Data_Value)
13615:89: conversion failed: "*" to float (Data_Value)
13673:72: conversion failed: "*" to float (Data_Value)
13753:72: conversion failed: "*" to float (Data_Value)
13849:72: conversion failed: "*" to float (Data_Value)
13876:72: conversion failed: "*" to float (Data_Value)
13904:72: conversion failed: "*" to float (Data_Value)
14036:72: conversion failed: "*" to float (Data_Value)
14068:72: conversion failed: "*" to float (Data_Value)
14084:72: conversion failed: "*" to float (Data_Value)
14111:72: conversion failed: "*" to float (Data_Value)
14119:72: conversion failed: "*" to float (Data_Value)
14219:72: conversion failed: "*" to float (Data_Value)
14303:72: conversion failed: "*" to float (Data_Value)
14315:72: conversion failed: "*" to float (Data_Value)
14450:72: conversion failed: "*" to float (Data_Value)
14546:72: conversion failed: "*" to float (Data_Value)
14573:72: conversion failed: "*" to float (Data_Value)
14761:72: conversion failed: "*" to float (Data_Value)
