"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"2067714","2012","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","18-24 years","BRFSS","%","Crude Prevalence","13.2","","","","","53","Overall","Overall","AGE","1","1","","","","","",""
"2067715","2012","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","25-34 years","BRFSS","%","Crude Prevalence","17.1","","","","","53","Overall","Overall","AGE","1","1","","","","","",""
"2067716","2012","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","35-44 years","BRFSS","%","Crude Prevalence","16.4","","","","","53","Overall","Overall","AGE","1","1","","","","","",""
"2067717","2012","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","45-54 years","BRFSS","%","Crude Prevalence","18.3","","","","","53","Overall","Overall","AGE","1","1","","","","","",""
"2067718","2012","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","55-64 years","BRFSS","%","Crude Prevalence","16.6","","","","","53","Overall","Overall","AGE","1","1","","","","","",""
"2067719","2012","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","65+ years","BRFSS","%","Crude Prevalence","18.9","","","","","53","Overall","Overall","AGE","1","1","","","","","",""
"2067254","2012","UW","All States and DC (median) **","Demographics","Age","What is your age?","18-24 years","BRFSS","%","Crude Prevalence","13.1","","","","","51","Overall","Overall","AGE","2","2","","","","","",""
"2067255","2012","UW","All States and DC (median) **","Demographics","Age","What is your age?","25-34 years","BRFSS","%","Crude Prevalence","16.9","","","","","51","Overall","Overall","AGE","2","2","","","","","",""
"2067256","2012","UW","All States and DC (median) **","Demographics","Age","What is your age?","35-44 years","BRFSS","%","Crude Prevalence","16.4","","","","","51","Overall","Overall","AGE","2","2","","","","","",""
"2067257","2012","UW","All States and DC (median) **","Demographics","Age","What is your age?","45-54 years","BRFSS","%","Crude Prevalence","18.3","","","","","51","Overall","Overall","AGE","2","2","","","","","",""
"2067258","2012","UW","All States and DC (median) **","Demographics","Age","What is your age?","55-64 years","BRFSS","%","Crude Prevalence","16.6","","","","","51","Overall","Overall","AGE","2","2","","","","","",""
"2067259","2012","UW","All States and DC (median) **","Demographics","Age","What is your age?","65+ years","BRFSS","%","Crude Prevalence","18.9","","","","","51","Overall","Overall","AGE","2","2","","","","","",""
"1920085","2012","AL","Alabama","Demographics","Age","What is your age?","18-24 years","BRFSS","%","Crude Prevalence","13.2","","","11.8","14.7","386","Overall","Overall","AGE","3","3","","","","","",""
"1920086","2012","AL","Alabama","Demographics","Age","What is your age?","25-34 years","BRFSS","%","Crude Prevalence","16.4","","","15.2","17.7","769","Overall","Overall","AGE","3","3","","","","","",""
