"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3377861","2018","US","All States, DC and Territories (median) **","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","BRFSS","%","Crude Prevalence","30.9","","","","","53","Overall","Overall","_BMI5CAT","1","1","","","","","",""
"3377862","2018","US","All States, DC and Territories (median) **","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Overweight (BMI 25.0-29.9)","BRFSS","%","Crude Prevalence","34.9","","","","","53","Overall","Overall","_BMI5CAT","1","1","","","","","",""
"3377863","2018","US","All States, DC and Territories (median) **","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Normal Weight (BMI 18.5-24.9)","BRFSS","%","Crude Prevalence","31.6","","","","","53","Overall","Overall","_BMI5CAT","1","1","","","","","",""
"3377864","2018","US","All States, DC and Territories (median) **","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Underweight (BMI 12.0-18.4)","BRFSS","%","Crude Prevalence","1.8","","","","","53","Overall","Overall","_BMI5CAT","1","1","","","","","",""
"3377695","2018","UW","All States and DC (median) **","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","BRFSS","%","Crude Prevalence","30.9","","","","","51","Overall","Overall","_BMI5CAT","2","2","","","","","",""
"3377696","2018","UW","All States and DC (median) **","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Overweight (BMI 25.0-29.9)","BRFSS","%","Crude Prevalence","34.9","","","","","51","Overall","Overall","_BMI5CAT","2","2","","","","","",""
"3377697","2018","UW","All States and DC (median) **","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Normal Weight (BMI 18.5-24.9)","BRFSS","%","Crude Prevalence","31.6","","","","","51","Overall","Overall","_BMI5CAT","2","2","","","","","",""
"3377698","2018","UW","All States and DC (median) **","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Underweight (BMI 12.0-18.4)","BRFSS","%","Crude Prevalence","1.8","","","","","51","Overall","Overall","_BMI5CAT","2","2","","","","","",""
"3164343","2018","AL","Alabama","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","BRFSS","%","Crude Prevalence","36.2","","","34.6","37.9","2238","Overall","Overall","_BMI5CAT","3","3","","","","","",""
"3164369","2018","AL","Alabama","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Overweight (BMI 25.0-29.9)","BRFSS","%","Crude Prevalence","33.4","","","31.9","35.0","2169","Overall","Overall","_BMI5CAT","3","3","","","","","",""
"3163817","2018","AL","Alabama","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Normal Weight (BMI 18.5-24.9)","BRFSS","%","Crude Prevalence","28.4","","","26.8","30.0","1633","Overall","Overall","_BMI5CAT","3","3","","","","","",""
"3163843","2018","AL","Alabama","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Underweight (BMI 12.0-18.4)","BRFSS","%","Crude Prevalence","2.0","","","1.4","2.5","104","Overall","Overall","_BMI5CAT","3","3","","","","","",""
"3167850","2018","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Obese (BMI 30.0 - 99.8)","BRFSS","%","Crude Prevalence","29.5","","","26.9","32.1","778","Overall","Overall","_BMI5CAT","4","4","","","","","",""
"3167876","2018","AK","Alaska","Overweight and Obesity (BMI)","BMI Categories","Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions)","Overweight (BMI 25.0-29.9)","BRFSS","%","Crude Prevalence","34.7","","","32.1","37.3","940","Overall","Overall","_BMI5CAT","4","4","","","","","",""
