"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"393680","2007","US","All States, DC and Territories (median) **","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","9.1","**","Median value reported with no confidence intervals","","","54","Overall","Overall","EDUCA","1","1","","","","","",""
"393681","2007","US","All States, DC and Territories (median) **","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","29.8","**","Median value reported with no confidence intervals","","","54","Overall","Overall","EDUCA","1","1","","","","","",""
"393682","2007","US","All States, DC and Territories (median) **","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","26.8","**","Median value reported with no confidence intervals","","","54","Overall","Overall","EDUCA","1","1","","","","","",""
"393683","2007","US","All States, DC and Territories (median) **","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","32.0","**","Median value reported with no confidence intervals","","","54","Overall","Overall","EDUCA","1","1","","","","","",""
"394034","2007","UW","All States and DC (median) **","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","8.8","**","Median value reported with no confidence intervals","","","51","Overall","Overall","EDUCA","2","2","","","","","",""
"394035","2007","UW","All States and DC (median) **","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","29.5","**","Median value reported with no confidence intervals","","","51","Overall","Overall","EDUCA","2","2","","","","","",""
"394036","2007","UW","All States and DC (median) **","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","27.0","**","Median value reported with no confidence intervals","","","51","Overall","Overall","EDUCA","2","2","","","","","",""
"394037","2007","UW","All States and DC (median) **","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","32.7","**","Median value reported with no confidence intervals","","","51","Overall","Overall","EDUCA","2","2","","","","","",""
"390491","2007","AL","Alabama","Demographics","Education","What is the highest grade or year of school you completed?","Less than H.S.","BRFSS","%","Crude Prevalence","14.2","","","13.0","15.4","1219","Overall","Overall","EDUCA","3","3","","","","","",""
"390492","2007","AL","Alabama","Demographics","Education","What is the highest grade or year of school you completed?","H.S. or G.E.D.","BRFSS","%","Crude Prevalence","32.3","","","30.5","34.1","2444","Overall","Overall","EDUCA","3","3","","","","","",""
"390493","2007","AL","Alabama","Demographics","Education","What is the highest grade or year of school you completed?","Some post-H.S.","BRFSS","%","Crude Prevalence","27.2","","","25.6","28.8","1814","Overall","Overall","EDUCA","3","3","","","","","",""
"390494","2007","AL","Alabama","Demographics","Education","What is the highest grade or year of school you completed?","College+","BRFSS","%","Crude Prevalence","26.3","","","24.7","27.9","1756","Overall","Overall","EDUCA","3","3","","","","","",""
