"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"137165","2009","US","All States, DC and Territories (median) **","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","75.8","**","Median value reported with no confidence intervals","","","54","Overall","Overall","_TOTINDA","1","1","","","","","",""
"137166","2009","US","All States, DC and Territories (median) **","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","24.2","**","Median value reported with no confidence intervals","","","54","Overall","Overall","_TOTINDA","1","1","","","","","",""
"136360","2009","UW","All States and DC (median) **","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","76.2","**","Median value reported with no confidence intervals","","","51","Overall","Overall","_TOTINDA","2","2","","","","","",""
"136361","2009","UW","All States and DC (median) **","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","23.8","**","Median value reported with no confidence intervals","","","51","Overall","Overall","_TOTINDA","2","2","","","","","",""
"132903","2009","AL","Alabama","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","69.0","","","67.3","70.7","4391","Overall","Overall","_TOTINDA","3","3","","","","","",""
"132904","2009","AL","Alabama","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","31.0","","","29.3","32.7","2391","Overall","Overall","_TOTINDA","3","3","","","","","",""
"135140","2009","AK","Alaska","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","77.6","","","75.0","80.1","1854","Overall","Overall","_TOTINDA","4","4","","","","","",""
"135141","2009","AK","Alaska","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","22.4","","","19.9","25.0","568","Overall","Overall","_TOTINDA","4","4","","","","","",""
"138038","2009","AZ","Arizona","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","81.0","","","79.2","82.8","4094","Overall","Overall","_TOTINDA","5","5","","","","","",""
"138039","2009","AZ","Arizona","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","19.0","","","17.2","20.8","1375","Overall","Overall","_TOTINDA","5","5","","","","","",""
"140132","2009","AR","Arkansas","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","70.2","","","68.1","72.3","2604","Overall","Overall","_TOTINDA","6","6","","","","","",""
"140133","2009","AR","Arkansas","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","29.8","","","27.7","31.9","1397","Overall","Overall","_TOTINDA","6","6","","","","","",""
"142397","2009","CA","California","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","77.9","","","77.0","78.8","13621","Overall","Overall","_TOTINDA","7","7","","","","","",""
"142398","2009","CA","California","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","22.1","","","21.2","23.0","3767","Overall","Overall","_TOTINDA","7","7","","","","","",""
"144700","2009","CO","Colorado","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","82.3","","","81.3","83.3","9611","Overall","Overall","_TOTINDA","8","8","","","","","",""
"144701","2009","CO","Colorado","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","17.7","","","16.7","18.7","2322","Overall","Overall","_TOTINDA","8","8","","","","","",""
"147097","2009","CT","Connecticut","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","78.4","","","77.0","79.8","4872","Overall","Overall","_TOTINDA","9","9","","","","","",""
"147098","2009","CT","Connecticut","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","21.6","","","20.2","23.0","1621","Overall","Overall","_TOTINDA","9","9","","","","","",""
"149193","2009","DE","Delaware","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","78.1","","","76.4","79.8","3226","Overall","Overall","_TOTINDA","10","10","","","","","",""
"149194","2009","DE","Delaware","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","21.9","","","20.2","23.6","1133","Overall","Overall","_TOTINDA","10","10","","","","","",""
"151229","2009","DC","District of Columbia","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","80.4","","","78.7","82.0","3090","Overall","Overall","_TOTINDA","11","11","","","","","",""
"151230","2009","DC","District of Columbia","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","19.6","","","18.0","21.3","808","Overall","Overall","_TOTINDA","11","11","","","","","",""
"154149","2009","FL","Florida","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","75.3","","","73.8","76.8","8554","Overall","Overall","_TOTINDA","12","12","","","","","",""
"154150","2009","FL","Florida","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","24.7","","","23.2","26.2","3477","Overall","Overall","_TOTINDA","12","12","","","","","",""
"156270","2009","GA","Georgia","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","75.8","","","74.1","77.5","4188","Overall","Overall","_TOTINDA","13","13","","","","","",""
"156271","2009","GA","Georgia","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","24.2","","","22.5","25.9","1698","Overall","Overall","_TOTINDA","13","13","","","","","",""
"161657","2009","HI","Hawaii","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","80.4","","","79.0","81.7","5369","Overall","Overall","_TOTINDA","14","14","","","","","",""
"161658","2009","HI","Hawaii","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","19.6","","","18.3","21.0","1314","Overall","Overall","_TOTINDA","14","14","","","","","",""
"164037","2009","ID","Idaho","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","79.0","","","77.5","80.4","4052","Overall","Overall","_TOTINDA","15","15","","","","","",""
"164038","2009","ID","Idaho","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","21.0","","","19.6","22.5","1328","Overall","Overall","_TOTINDA","15","15","","","","","",""
"165468","2009","IL","Illinois","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","76.4","","","74.9","77.9","4365","Overall","Overall","_TOTINDA","16","16","","","","","",""
"165469","2009","IL","Illinois","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","23.6","","","22.1","25.1","1479","Overall","Overall","_TOTINDA","16","16","","","","","",""
"168933","2009","IN","Indiana","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","72.8","","","71.5","74.2","6286","Overall","Overall","_TOTINDA","17","17","","","","","",""
"168934","2009","IN","Indiana","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","27.2","","","25.8","28.5","2980","Overall","Overall","_TOTINDA","17","17","","","","","",""
"171119","2009","IA","Iowa","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","75.8","","","74.4","77.2","4373","Overall","Overall","_TOTINDA","18","18","","","","","",""
"171120","2009","IA","Iowa","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","24.2","","","22.8","25.6","1646","Overall","Overall","_TOTINDA","18","18","","","","","",""
"173567","2009","KS","Kansas","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","76.8","","","76.0","77.7","13926","Overall","Overall","_TOTINDA","19","19","","","","","",""
"173568","2009","KS","Kansas","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","23.2","","","22.3","24.0","4969","Overall","Overall","_TOTINDA","19","19","","","","","",""
"175682","2009","KY","Kentucky","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","70.3","","","68.7","71.9","6052","Overall","Overall","_TOTINDA","20","20","","","","","",""
