"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"881102","2003","US","All States, DC and Territories (median) **","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","24.8","**","Median value reported with no confidence intervals","","","54","Overall","Overall","_RFHYPE4","1","1","","","","","",""
"881103","2003","US","All States, DC and Territories (median) **","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","75.2","**","Median value reported with no confidence intervals","","","54","Overall","Overall","_RFHYPE4","1","1","","","","","",""
"880900","2003","UW","All States and DC (median) **","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","24.8","**","Median value reported with no confidence intervals","","","51","Overall","Overall","_RFHYPE4","2","2","","","","","",""
"880901","2003","UW","All States and DC (median) **","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","75.2","**","Median value reported with no confidence intervals","","","51","Overall","Overall","_RFHYPE4","2","2","","","","","",""
"876895","2003","AL","Alabama","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","33.1","","","31.3","34.9","1245","Overall","Overall","_RFHYPE4","3","3","","","","","",""
"876896","2003","AL","Alabama","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","66.9","","","65.1","68.7","2088","Overall","Overall","_RFHYPE4","3","3","","","","","",""
"879136","2003","AK","Alaska","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","20.8","","","18.7","22.9","630","Overall","Overall","_RFHYPE4","4","4","","","","","",""
"879137","2003","AK","Alaska","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","79.2","","","77.1","81.3","2030","Overall","Overall","_RFHYPE4","4","4","","","","","",""
"881900","2003","AZ","Arizona","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","22.7","","","20.7","24.7","921","Overall","Overall","_RFHYPE4","5","5","","","","","",""
"881901","2003","AZ","Arizona","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","77.3","","","75.3","79.3","2309","Overall","Overall","_RFHYPE4","5","5","","","","","",""
