"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"266256","2008","US","All States, DC and Territories (median) **","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","8.2","**","Median value reported with no confidence intervals","","","54","Overall","Overall","INCOME","1","1","","","","","",""
"266257","2008","US","All States, DC and Territories (median) **","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","15.1","**","Median value reported with no confidence intervals","","","54","Overall","Overall","INCOME","1","1","","","","","",""
"266258","2008","US","All States, DC and Territories (median) **","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","11.5","**","Median value reported with no confidence intervals","","","54","Overall","Overall","INCOME","1","1","","","","","",""
"266259","2008","US","All States, DC and Territories (median) **","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","15.5","**","Median value reported with no confidence intervals","","","54","Overall","Overall","INCOME","1","1","","","","","",""
"266260","2008","US","All States, DC and Territories (median) **","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","48.5","**","Median value reported with no confidence intervals","","","54","Overall","Overall","INCOME","1","1","","","","","",""
"265726","2008","UW","All States and DC (median) **","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","8.0","**","Median value reported with no confidence intervals","","","51","Overall","Overall","INCOME","2","2","","","","","",""
"265727","2008","UW","All States and DC (median) **","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","15.0","**","Median value reported with no confidence intervals","","","51","Overall","Overall","INCOME","2","2","","","","","",""
"265728","2008","UW","All States and DC (median) **","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","11.5","**","Median value reported with no confidence intervals","","","51","Overall","Overall","INCOME","2","2","","","","","",""
"265729","2008","UW","All States and DC (median) **","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","15.5","**","Median value reported with no confidence intervals","","","51","Overall","Overall","INCOME","2","2","","","","","",""
"265730","2008","UW","All States and DC (median) **","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","49.6","**","Median value reported with no confidence intervals","","","51","Overall","Overall","INCOME","2","2","","","","","",""
"262605","2008","AL","Alabama","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","11.8","","","10.7","12.9","920","Overall","Overall","INCOME","3","3","","","","","",""
"262606","2008","AL","Alabama","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","17.4","","","15.8","19.0","1038","Overall","Overall","INCOME","3","3","","","","","",""
