ID,Year,LocationAbbr,Topic,Response,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification,StratificationType,IndicatorId,LocationOrder,ParentStateDisplayOrder
881138.0,2003.0,US,Age,18-24 years,Crude Prevalence,13.4,**,Median value reported with no confidence intervals,,,54.0,Overall,Overall,AGE,1.0,1.0
881139.0,2003.0,US,Age,25-34 years,Crude Prevalence,17.3,**,Median value reported with no confidence intervals,,,54.0,Overall,Overall,AGE,1.0,1.0
881140.0,2003.0,US,Age,35-44 years,Crude Prevalence,20.0,**,Median value reported with no confidence intervals,,,54.0,Overall,Overall,AGE,1.0,1.0
881141.0,2003.0,US,Age,45-54 years,Crude Prevalence,18.9,**,Median value reported with no confidence intervals,,,54.0,Overall,Overall,AGE,1.0,1.0
881142.0,2003.0,US,Age,55-64 years,Crude Prevalence,13.2,**,Median value reported with no confidence intervals,,,54.0,Overall,Overall,AGE,1.0,1.0
881143.0,2003.0,US,Age,65+ years,Crude Prevalence,17.1,**,Median value reported with no confidence intervals,,,54.0,Overall,Overall,AGE,1.0,1.0
880936.0,2003.0,UW,Age,18-24 years,Crude Prevalence,13.3,**,Median value reported with no confidence intervals,,,51.0,Overall,Overall,AGE,2.0,2.0
880937.0,2003.0,UW,Age,25-34 years,Crude Prevalence,17.2,**,Median value reported with no confidence intervals,,,51.0,Overall,Overall,AGE,2.0,2.0
880938.0,2003.0,UW,Age,35-44 years,Crude Prevalence,19.9,**,Median value reported with no confidence intervals,,,51.0,Overall,Overall,AGE,2.0,2.0
880939.0,2003.0,UW,Age,45-54 years,Crude Prevalence,18.9,**,Median value reported with no confidence intervals,,,51.0,Overall,Overall,AGE,2.0,2.0
880940.0,2003.0,UW,Age,55-64 years,Crude Prevalence,13.2,**,Median value reported with no confidence intervals,,,51.0,Overall,Overall,AGE,2.0,2.0
880941.0,2003.0,UW,Age,65+ years,Crude Prevalence,17.1,**,Median value reported with no confidence intervals,,,51.0,Overall,Overall,AGE,2.0,2.0
877987.0,2003.0,AL,Age,18-24 years,Crude Prevalence,13.5,,,11.6,15.4,231.0,Overall,Overall,AGE,3.0,3.0
877988.0,2003.0,AL,Age,25-34 years,Crude Prevalence,17.2,,,15.7,18.7,509.0,Overall,Overall,AGE,3.0,3.0
877989.0,2003.0,AL,Age,35-44 years,Crude Prevalence,19.3,,,17.7,20.9,584.0,Overall,Overall,AGE,3.0,3.0
877990.0,2003.0,AL,Age,45-54 years,Crude Prevalence,18.6,,,17.1,20.1,675.0,Overall,Overall,AGE,3.0,3.0
877991.0,2003.0,AL,Age,55-64 years,Crude Prevalence,13.4,,,12.2,14.6,598.0,Overall,Overall,AGE,3.0,3.0
877992.0,2003.0,AL,Age,65+ years,Crude Prevalence,17.9,,,16.6,19.2,742.0,Overall,Overall,AGE,3.0,3.0
880104.0,2003.0,AK,Age,18-24 years,Crude Prevalence,14.0,,,11.9,16.1,227.0,Overall,Overall,AGE,4.0,4.0
880105.0,2003.0,AK,Age,25-34 years,Crude Prevalence,18.4,,,16.3,20.5,491.0,Overall,Overall,AGE,4.0,4.0
880106.0,2003.0,AK,Age,35-44 years,Crude Prevalence,23.4,,,21.2,25.6,633.0,Overall,Overall,AGE,4.0,4.0
880107.0,2003.0,AK,Age,45-54 years,Crude Prevalence,23.2,,,20.9,25.5,661.0,Overall,Overall,AGE,4.0,4.0
880108.0,2003.0,AK,Age,55-64 years,Crude Prevalence,11.7,,,10.2,13.2,372.0,Overall,Overall,AGE,4.0,4.0
880109.0,2003.0,AK,Age,65+ years,Crude Prevalence,9.3,,,7.9,10.7,281.0,Overall,Overall,AGE,4.0,4.0
882556.0,2003.0,AZ,Age,18-24 years,Crude Prevalence,12.7,,,10.2,15.2,196.0,Overall,Overall,AGE,5.0,5.0
882557.0,2003.0,AZ,Age,25-34 years,Crude Prevalence,19.2,,,17.0,21.4,453.0,Overall,Overall,AGE,5.0,5.0
882558.0,2003.0,AZ,Age,35-44 years,Crude Prevalence,19.6,,,17.5,21.7,559.0,Overall,Overall,AGE,5.0,5.0
882559.0,2003.0,AZ,Age,45-54 years,Crude Prevalence,17.3,,,15.4,19.2,638.0,Overall,Overall,AGE,5.0,5.0
882560.0,2003.0,AZ,Age,55-64 years,Crude Prevalence,12.8,,,11.4,14.2,556.0,Overall,Overall,AGE,5.0,5.0
882561.0,2003.0,AZ,Age,65+ years,Crude Prevalence,18.4,,,16.7,20.1,833.0,Overall,Overall,AGE,5.0,5.0
884459.0,2003.0,AR,Age,18-24 years,Crude Prevalence,13.4,,,11.8,15.0,280.0,Overall,Overall,AGE,6.0,6.0
884460.0,2003.0,AR,Age,25-34 years,Crude Prevalence,17.0,,,15.7,18.3,594.0,Overall,Overall,AGE,6.0,6.0
884461.0,2003.0,AR,Age,35-44 years,Crude Prevalence,18.8,,,17.4,20.2,737.0,Overall,Overall,AGE,6.0,6.0
884462.0,2003.0,AR,Age,45-54 years,Crude Prevalence,17.8,,,16.6,19.0,894.0,Overall,Overall,AGE,6.0,6.0
884463.0,2003.0,AR,Age,55-64 years,Crude Prevalence,13.7,,,12.7,14.7,735.0,Overall,Overall,AGE,6.0,6.0
884464.0,2003.0,AR,Age,65+ years,Crude Prevalence,19.3,,,18.1,20.5,965.0,Overall,Overall,AGE,6.0,6.0
886749.0,2003.0,CA,Age,18-24 years,Crude Prevalence,13.3,,,11.9,14.7,377.0,Overall,Overall,AGE,7.0,7.0
886750.0,2003.0,CA,Age,25-34 years,Crude Prevalence,19.9,,,18.5,21.3,793.0,Overall,Overall,AGE,7.0,7.0
886751.0,2003.0,CA,Age,35-44 years,Crude Prevalence,21.5,,,20.1,22.9,935.0,Overall,Overall,AGE,7.0,7.0
886752.0,2003.0,CA,Age,45-54 years,Crude Prevalence,18.5,,,17.1,19.9,847.0,Overall,Overall,AGE,7.0,7.0
886753.0,2003.0,CA,Age,55-64 years,Crude Prevalence,11.9,,,10.8,13.0,643.0,Overall,Overall,AGE,7.0,7.0
