"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"1117135","2001","US","All States, DC and Territories (median) **","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","47.9","**","Median value reported with no confidence intervals","","","54","Overall","Overall","SEX","1","1","","","","","",""
"1117136","2001","US","All States, DC and Territories (median) **","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","52.1","**","Median value reported with no confidence intervals","","","54","Overall","Overall","SEX","1","1","","","","","",""
"1117782","2001","UW","All States and DC (median) **","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","47.9","**","Median value reported with no confidence intervals","","","51","Overall","Overall","SEX","2","2","","","","","",""
"1117783","2001","UW","All States and DC (median) **","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","52.1","**","Median value reported with no confidence intervals","","","51","Overall","Overall","SEX","2","2","","","","","",""
"1114245","2001","AL","Alabama","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","47.2","","","45.1","49.3","1050","Overall","Overall","SEX","3","3","","","","","",""
"1114246","2001","AL","Alabama","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","52.8","","","50.7","54.9","1745","Overall","Overall","SEX","3","3","","","","","",""
"1116801","2001","AK","Alaska","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","52.0","","","49.2","54.8","1359","Overall","Overall","SEX","4","4","","","","","",""
"1116802","2001","AK","Alaska","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","48.0","","","45.2","50.8","1516","Overall","Overall","SEX","4","4","","","","","",""
"1119705","2001","AZ","Arizona","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","48.8","","","46.3","51.3","1342","Overall","Overall","SEX","5","5","","","","","",""
"1119706","2001","AZ","Arizona","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","51.2","","","48.7","53.7","1922","Overall","Overall","SEX","5","5","","","","","",""
"1122075","2001","AR","Arkansas","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","47.5","","","45.4","49.6","1122","Overall","Overall","SEX","6","6","","","","","",""
"1122076","2001","AR","Arkansas","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","52.5","","","50.4","54.6","1806","Overall","Overall","SEX","6","6","","","","","",""
"1123601","2001","CA","California","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","49.6","","","47.7","51.5","1723","Overall","Overall","SEX","7","7","","","","","",""
"1123602","2001","CA","California","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","50.4","","","48.5","52.3","2534","Overall","Overall","SEX","7","7","","","","","",""
"1125226","2001","CO","Colorado","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","49.0","","","46.5","51.5","864","Overall","Overall","SEX","8","8","","","","","",""
"1125227","2001","CO","Colorado","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","51.0","","","48.5","53.5","1168","Overall","Overall","SEX","8","8","","","","","",""
