province,State & National Parks,Population (2016),Parks per Capita 100k
AL,22,4863300, 0.45 
AK,127,741894, 17.12 
AZ,39,6931071, 0.56 
AR,53,2988248, 1.77 
CA,279,39250017, 0.71 
CO,47,5540545, 0.85 
CT,109,3576452, 3.05 
DE,16,952065, 1.68 
DC,,681170, -   
FL,194,20612439, 0.94 
GA,63,10310371, 0.61 
HI,52,1428557, 3.64 
ID,33,1683140, 1.96 
IL,142,12801539, 1.11 
IN,35,6633053, 0.53 
IA,71,3134693, 2.26 
KS,26,2907289, 0.89 
KY,51,4436974, 1.15 
LA,40,4681666, 0.85 
ME,84,1331479, 6.31 
MD,46,6016447, 0.76 
MA,154,6811779, 2.26 
MI,105,9928300, 1.06 
MN,68,5519952, 1.23 
MS,25,2988726, 0.84 
MO,94,6093000, 1.54 
MT,55,1042520, 5.28 
NE,74,1907116, 3.88 
NV,24,2940058, 0.82 
NH,68,1334795, 5.09 
NJ,50,8944469, 0.56 
NM,35,2081015, 1.68 
NY,215,19745289, 1.09 
NC,42,10146788, 0.41 
ND,21,757952, 2.77 
OH,76,11614373, 0.65 
OK,39,3923561, 0.99 
OR,196,4093465, 4.79 
PA,121,12784227, 0.95 
RI,15,1056426, 1.42 
SC,48,4961119, 0.97 
SD,65,865454, 7.51 
TN,57,6651194, 0.86 
TX,101,27862596, 0.36 
UT,49,3051217, 1.61 
VT,58,624594, 9.29 
VA,38,8411808, 0.45 
WA,215,7288000, 2.95 
WV,45,1831102, 2.46 
WI,76,5778708, 1.32 
WY,33,585501, 5.64 
