"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"881138","2003","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","18-24 years","BRFSS","%","Crude Prevalence","13.4","**","Median value reported with no confidence intervals","","","54","Overall","Overall","AGE","1","1","","","","","",""
"881139","2003","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","25-34 years","BRFSS","%","Crude Prevalence","17.3","**","Median value reported with no confidence intervals","","","54","Overall","Overall","AGE","1","1","","","","","",""
"881140","2003","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","35-44 years","BRFSS","%","Crude Prevalence","20.0","**","Median value reported with no confidence intervals","","","54","Overall","Overall","AGE","1","1","","","","","",""
"881141","2003","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","45-54 years","BRFSS","%","Crude Prevalence","18.9","**","Median value reported with no confidence intervals","","","54","Overall","Overall","AGE","1","1","","","","","",""
"881142","2003","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","55-64 years","BRFSS","%","Crude Prevalence","13.2","**","Median value reported with no confidence intervals","","","54","Overall","Overall","AGE","1","1","","","","","",""
"881143","2003","US","All States, DC and Territories (median) **","Demographics","Age","What is your age?","65+ years","BRFSS","%","Crude Prevalence","17.1","**","Median value reported with no confidence intervals","","","54","Overall","Overall","AGE","1","1","","","","","",""
"880936","2003","UW","All States and DC (median) **","Demographics","Age","What is your age?","18-24 years","BRFSS","%","Crude Prevalence","13.3","**","Median value reported with no confidence intervals","","","51","Overall","Overall","AGE","2","2","","","","","",""
"880937","2003","UW","All States and DC (median) **","Demographics","Age","What is your age?","25-34 years","BRFSS","%","Crude Prevalence","17.2","**","Median value reported with no confidence intervals","","","51","Overall","Overall","AGE","2","2","","","","","",""
"880938","2003","UW","All States and DC (median) **","Demographics","Age","What is your age?","35-44 years","BRFSS","%","Crude Prevalence","19.9","**","Median value reported with no confidence intervals","","","51","Overall","Overall","AGE","2","2","","","","","",""
"880939","2003","UW","All States and DC (median) **","Demographics","Age","What is your age?","45-54 years","BRFSS","%","Crude Prevalence","18.9","**","Median value reported with no confidence intervals","","","51","Overall","Overall","AGE","2","2","","","","","",""
"880940","2003","UW","All States and DC (median) **","Demographics","Age","What is your age?","55-64 years","BRFSS","%","Crude Prevalence","13.2","**","Median value reported with no confidence intervals","","","51","Overall","Overall","AGE","2","2","","","","","",""
"880941","2003","UW","All States and DC (median) **","Demographics","Age","What is your age?","65+ years","BRFSS","%","Crude Prevalence","17.1","**","Median value reported with no confidence intervals","","","51","Overall","Overall","AGE","2","2","","","","","",""
"877987","2003","AL","Alabama","Demographics","Age","What is your age?","18-24 years","BRFSS","%","Crude Prevalence","13.5","","","11.6","15.4","231","Overall","Overall","AGE","3","3","","","","","",""
"877988","2003","AL","Alabama","Demographics","Age","What is your age?","25-34 years","BRFSS","%","Crude Prevalence","17.2","","","15.7","18.7","509","Overall","Overall","AGE","3","3","","","","","",""
"877989","2003","AL","Alabama","Demographics","Age","What is your age?","35-44 years","BRFSS","%","Crude Prevalence","19.3","","","17.7","20.9","584","Overall","Overall","AGE","3","3","","","","","",""
"877990","2003","AL","Alabama","Demographics","Age","What is your age?","45-54 years","BRFSS","%","Crude Prevalence","18.6","","","17.1","20.1","675","Overall","Overall","AGE","3","3","","","","","",""
"877991","2003","AL","Alabama","Demographics","Age","What is your age?","55-64 years","BRFSS","%","Crude Prevalence","13.4","","","12.2","14.6","598","Overall","Overall","AGE","3","3","","","","","",""
"877992","2003","AL","Alabama","Demographics","Age","What is your age?","65+ years","BRFSS","%","Crude Prevalence","17.9","","","16.6","19.2","742","Overall","Overall","AGE","3","3","","","","","",""
"880104","2003","AK","Alaska","Demographics","Age","What is your age?","18-24 years","BRFSS","%","Crude Prevalence","14.0","","","11.9","16.1","227","Overall","Overall","AGE","4","4","","","","","",""
"880105","2003","AK","Alaska","Demographics","Age","What is your age?","25-34 years","BRFSS","%","Crude Prevalence","18.4","","","16.3","20.5","491","Overall","Overall","AGE","4","4","","","","","",""
"880106","2003","AK","Alaska","Demographics","Age","What is your age?","35-44 years","BRFSS","%","Crude Prevalence","23.4","","","21.2","25.6","633","Overall","Overall","AGE","4","4","","","","","",""
"880107","2003","AK","Alaska","Demographics","Age","What is your age?","45-54 years","BRFSS","%","Crude Prevalence","23.2","","","20.9","25.5","661","Overall","Overall","AGE","4","4","","","","","",""
"880108","2003","AK","Alaska","Demographics","Age","What is your age?","55-64 years","BRFSS","%","Crude Prevalence","11.7","","","10.2","13.2","372","Overall","Overall","AGE","4","4","","","","","",""
"880109","2003","AK","Alaska","Demographics","Age","What is your age?","65+ years","BRFSS","%","Crude Prevalence","9.3","","","7.9","10.7","281","Overall","Overall","AGE","4","4","","","","","",""
"882556","2003","AZ","Arizona","Demographics","Age","What is your age?","18-24 years","BRFSS","%","Crude Prevalence","12.7","","","10.2","15.2","196","Overall","Overall","AGE","5","5","","","","","",""
"882557","2003","AZ","Arizona","Demographics","Age","What is your age?","25-34 years","BRFSS","%","Crude Prevalence","19.2","","","17.0","21.4","453","Overall","Overall","AGE","5","5","","","","","",""
"882558","2003","AZ","Arizona","Demographics","Age","What is your age?","35-44 years","BRFSS","%","Crude Prevalence","19.6","","","17.5","21.7","559","Overall","Overall","AGE","5","5","","","","","",""
"882559","2003","AZ","Arizona","Demographics","Age","What is your age?","45-54 years","BRFSS","%","Crude Prevalence","17.3","","","15.4","19.2","638","Overall","Overall","AGE","5","5","","","","","",""
"882560","2003","AZ","Arizona","Demographics","Age","What is your age?","55-64 years","BRFSS","%","Crude Prevalence","12.8","","","11.4","14.2","556","Overall","Overall","AGE","5","5","","","","","",""
"882561","2003","AZ","Arizona","Demographics","Age","What is your age?","65+ years","BRFSS","%","Crude Prevalence","18.4","","","16.7","20.1","833","Overall","Overall","AGE","5","5","","","","","",""
"884459","2003","AR","Arkansas","Demographics","Age","What is your age?","18-24 years","BRFSS","%","Crude Prevalence","13.4","","","11.8","15.0","280","Overall","Overall","AGE","6","6","","","","","",""
"884460","2003","AR","Arkansas","Demographics","Age","What is your age?","25-34 years","BRFSS","%","Crude Prevalence","17.0","","","15.7","18.3","594","Overall","Overall","AGE","6","6","","","","","",""
"884461","2003","AR","Arkansas","Demographics","Age","What is your age?","35-44 years","BRFSS","%","Crude Prevalence","18.8","","","17.4","20.2","737","Overall","Overall","AGE","6","6","","","","","",""
