city,country,latitude,longitude,name,postalCode,province
Greeley,US,40.39629,-104.69699,Carl's Jr.,80631,CO
Grand Junction,US,39.08135,-108.58689,Del Taco,81505,CO
Grand Junction,US,39.09148,-108.55411000000001,Which Wich,81506,CO
Aurora,US,39.763690000000004,-104.77671,Chipotle Mexican Grill,80011,CO
Denver,US,39.74044,-104.92636,Taco Bell,80220,CO
Denver,US,39.739670000000004,-105.00466999999999,McDonald's,80204,CO
Denver,US,39.7417,-104.98828999999999,McDonald's,80202,CO
Fayetteville,US,36.085369,-94.15531899999999,Taco Bell,72703,AR
Aurora,US,39.70534,-104.86633,Captain D's Seafood Kitchen,80012,CO
Denver,US,39.749107,-104.99458999999999,Shondiz,80202,CO
Colorado Springs,US,38.87469,-104.8257,Cook-Out,80907,CO
Colorado Springs,US,38.945809999999994,-104.79873,Steak 'n Shake,80920,CO
Colorado Springs,US,38.80491,-104.81956,QDOBA Mexican Eats,80906,CO
Colorado Springs,US,38.936040000000006,-104.79854,QDOBA Mexican Eats,80920,CO
Little Rock,US,34.772621,-92.400605,Burger King,72212,AR
Harrison,US,36.2597,-93.1265,Hardee's,72601,AR
Kodiak,US,57.791026,-152.40676000000002,Shelikof Lodge Restaurant,99615,AK
Ketchikan,US,55.3484,-131.67413,Taco Time,99901,AK
Kodiak,US,57.80987,-152.36508,Taco Bell,99615,AK
North Pole,US,64.75607600000001,-147.35411000000002,Taco Bell,99705,AK
Ketchikan,US,55.3445,-131.6533,Pizza Mill,99901,AK
Kenai,US,60.56100000000001,-151.22925,Pizza Hut,99611,AK
Fairbanks,US,64.8373,-147.7606,Pizza Hut,99701,AK
Anchorage,US,61.2076,-149.8035,Sweet Pink Pepper,99508,AK
Cottage Grove,US,43.800839,-123.039401,Arby's,97424,OR
White Plains,US,41.03715,-73.77877,Nathan's Famous Hot Dogs,10606,NY
La Grande,US,45.3222,-118.0848,Moy's Dynasty Restaurant,97850,OR
Omaha,US,41.233837,-96.04496,Arby's,68124,NE
Leeds,US,33.561840000000004,-86.52249,Chick-fil-A,35094,AL
Lafayette,US,32.88285,-85.40805,Jack's Family Restaurants,36862,AL
Reform,US,33.380990000000004,-88.02008000000001,Jack's Family Restaurants,35481,AL
Andalusia,US,31.30987,-86.49962,Subway,36420,AL
Somerville,US,34.44567,-86.75545,Krispy Krunchy Chicken,35670,AL
Owens Cross Roads,US,34.570640000000004,-86.44759,Subway,35763,AL
Opp,US,31.280009999999997,-86.25010999999999,Burger King,36467,AL
Oneonta,US,33.95433,-86.46733,Kfc,35121,AL
Arab,US,34.33266,-86.50455,Pizza Hut,35016,AL
Fayette,US,33.70698,-87.82406,Pizza Hut,35555,AL
Owens Cross Roads,US,34.659009999999995,-86.48167,Subway,35763,AL
Guin,US,33.966409999999996,-87.91083,Jack's,35563,AL
Greenville,US,31.85179,-86.64201,Bates House Of Turkey Inc,36037,AL
Grand Bay,US,30.49509,-88.33755,Hardee's,36541,AL
Gardendale,US,33.646770000000004,-86.8234,McDonald's,35071,AL
Gardendale,US,33.65271,-86.8105,Sonic Drive-In,35071,AL
Livingston,US,32.6243,-88.20631999999999,McDonald's,35470,AL
Livingston,US,32.621109999999994,-88.1965,Pizza Hut,35470,AL
Marco Island,US,25.9509,-81.7228,Kretch's Restaurant,34145,FL
Hanceville,US,34.07124,-86.77643,Subway,35077,AL
Haleyville,US,34.2277,-87.62024,Jack's,35565,AL
Birmingham,US,33.53055,-86.71381,Kfc,35210,AL
Eufaula,US,31.890559999999997,-85.14549,Church's Chicken,36027,AL
Toomsuba,US,32.4116,-88.50533,Arby's,39364,MS
Livingston,US,32.60197,-88.18293,Sonic Drive-In,35470,AL
Collinsville,US,34.267956,-85.86197,Jack's Family Restaurants,35961,AL
Centre,US,34.15898,-85.70809,Sonic Drive-In,35960,AL
Centre,US,34.16017,-85.6682,McDonald's,35960,AL
Roanoke,US,33.11864,-85.45195,Big Boys,36274,AL
Demopolis,US,32.497890000000005,-87.84711,Jack's Family Restaurants,36732,AL
Centreville,US,32.950325,-87.11924,Jack's Family Restaurants,35042,AL
Mobile,US,30.6758,-88.1419,Bangkok Thai Cuisine,36608,AL
Tuscaloosa,US,33.1565,-87.5163,Dreamland Bar B Que,35405,AL
Decatur,US,34.564526,-86.972877,Alfonso's Pizza Italian Restaurant,35601,AL
Atmore,US,31.105999999999998,-87.47561,Sonic Drive-In,36502,AL
Aliceville,US,33.127340000000004,-88.14985,Jack's Family Restaurants,35442,AL
Adamsville,US,33.60968,-86.96368000000001,Jack's Family Restaurants,35005,AL
Pell City,US,33.60972,-86.28005,Arby's,35125,AL
Oneonta,US,33.95857,-86.46367,Dairy Queen,35121,AL
Alexandria,US,33.78078,-85.89649,Jack's Family Restaurants,36250,AL
Mobile,US,30.684209999999997,-88.22378,Arby's,36608,AL
Mobile,US,30.761640000000003,-88.07332,Whataburger,36611,AL
Birmingham,US,33.3848,-86.73919000000001,Taco Bell,35244,AL
Calera,US,33.15574,-86.74734000000001,Pizza Hut,35040,AL
Fort Payne,US,34.466440000000006,-85.70053,Jack's Family Restaurants,35967,AL
Rainsville,US,34.49215,-85.84451999999999,Sonic Drive-In,35986,AL
Rainsville,US,34.4957,-85.84983000000001,Pizza Hut,35986,AL
Bessemer,US,33.45073,-86.97938,Pizza Hut,35023,AL
Dora,US,33.756159999999994,-87.06325,Jack's Family Restaurants,35062,AL
Jasper,US,33.854240000000004,-87.28822,Jack's Family Restaurants,35503,AL
Jasper,US,33.848659999999995,-87.28365,Guthries,35501,AL
Huntsville,US,34.76119,-86.59108,Taco Bell,35810,AL
Huntsville,US,34.713165000000004,-86.65868,Subway,35806,AL
Huntsville,US,34.746190000000006,-86.67575,Subway,35806,AL
Phenix City,US,32.422109999999996,-85.03987,Chick-Fil-A,36869,AL
Phenix City,US,32.49808,-85.04433,McDonald's,36867,AL
Columbus,US,32.445879999999995,-84.92876,Jerry's Subs and Pizza,31906,GA
Columbus,US,32.46804,-84.96781,Wendy's,31906,GA
Fairbanks,US,64.8466,-147.7005,Ak Buffet,99701,AK
Birmingham,US,33.505974,-86.89299,Jimmy John's,35218,AL
Birmingham,US,33.51169,-86.78845,Jimmy John's,35233,AL
Birmingham,US,33.419259999999994,-86.80079,Hardee's,35216,AL
Birmingham,US,33.45069,-86.72995999999999,Which Wich,35243,AL
Alabaster,US,33.23687,-86.81286,Church's Chicken,35007,AL
Alabaster,US,33.25046,-86.81478,Pizza Hut,35007,AL
Calera,US,33.14812,-86.74937,Burger King,35040,AL
Guntersville,US,34.34134,-86.30938,Taco Bell,35976,AL
Decatur,US,34.58542,-86.98080999999999,Subway,35601,AL
Decatur,US,34.57165,-87.01462,Chick-fil-A,35601,AL
Decatur,US,34.554959999999994,-86.99725,Firehouse Subs,35603,AL
Decatur,US,34.62039,-87.05281,Jack's Family Restaurants,35601,AL
Decatur,US,34.57586,-86.97610999999999,Krystal,35601,AL
Decatur,US,34.56185,-87.00769,Jack's,35601,AL
Decatur,US,34.567840000000004,-87.01125,Dairy Queen Grill Chill,35601,AL
Enterprise,US,31.33653,-85.85576,Subway,36330,AL
Florence,US,34.81771,-87.68111,Wok N Roll,35630,AL
Dothan,US,31.189259999999997,-85.40099000000001,Hardee's,36301,AL
Dothan,US,31.21224,-85.36109,Burger King,36301,AL
Dothan,US,31.21805,-85.35983,Sonic Drive-In,36303,AL
Tuscaloosa,US,33.21097,-87.55278,Moe's Southwest Grill,35401,AL
Tuscaloosa,US,33.17378,-87.52549,Burger King,35405,AL
Tuscaloosa,US,33.189409999999995,-87.52625,Moe's Southwest Grill,35404,AL
Auburn,US,32.57246,-85.49903,Sonic Drive-In,36832,AL
Athens,US,34.7881,-86.96264000000001,Firehouse Subs,35611,AL
Athens,US,34.80086,-86.9526,Subway,35611,AL
Oxford,US,33.61477,-85.80492,Domino's Pizza,36203,AL
Oxford,US,33.61567,-85.82607,Jack's,36203,AL
Cullman,US,34.17945,-86.84606,Jimmy John's,35055,AL
Cullman,US,34.15977,-86.84812,Jack's,35055,AL
Cullman,US,34.157579999999996,-86.83748,Subway,35055,AL
Cullman,US,34.20643,-86.86648000000001,Panda Express,35058,AL
Cullman,US,34.19863,-86.80400999999999,Subway,35058,AL
Cullman,US,34.18417,-86.84848000000001,Rally's,35055,AL
Cullman,US,34.15759,-86.83473000000001,Sonic Drive-In,35055,AL
Birmingham,US,33.610855,-86.687775,Captain D's Seafood Kitchen,35215,AL
Pinson,US,33.69535,-86.68257,McDonald's,35126,AL
Leeds,US,33.54722,-86.59819,Auntie Anne's Soft Pretzels,35094,AL
Birmingham,US,33.60603,-86.68913,Sonic Drive-In,35215,AL
Birmingham,US,33.5328,-86.6857,Subway,35210,AL
Birmingham,US,33.56268,-86.72863000000001,Rally's,35206,AL
Birmingham,US,33.507709999999996,-86.80475,Moe's Southwest Grill,35233,AL
Birmingham,US,33.480109999999996,-86.77455,Moe's Southwest Grill,35223,AL
Birmingham,US,33.439,-86.78873,Chipotle Mexican Grill,35216,AL
Fultondale,US,33.60767,-86.80459,Full Moon Bar-B-Que,35068,AL
Birmingham,US,33.47015,-86.88269,Church's Chicken,35211,AL
Birmingham,US,33.505974,-86.89299,Church's Chicken,35218,AL
Birmingham,US,33.51331,-86.89783,Milo's Hamburgers,35233,AL
Birmingham,US,33.505974,-86.89299,McDonald's,35218,AL
Mc Calla,US,33.329879999999996,-87.00036999999999,Subway,35111,AL
Birmingham,US,33.45292,-86.92278,Hardee's,35228,AL
Birmingham,US,33.4648,-86.81963,Pizza Hut,35209,AL
Bessemer,US,33.39403,-86.97014,Pizza Hut,35020,AL
Birmingham,US,33.53439,-86.70704,Guthrie's,35210,AL
Birmingham,US,33.51717,-86.80715,Jimmy John's,35203,AL
Daphne,US,30.59977,-87.89833,Moe's Southwest Grill,36526,AL
Daphne,US,30.65503,-87.90273,Firehouse Subs,36526,AL
Attalla,US,33.99707,-86.09424,Subway,35954,AL
Gadsden,US,33.99989,-85.94225,Jack's Family Restaurants,35903,AL
Gadsden,US,33.98514,-86.00435999999999,Jack's,35901,AL
Gadsden,US,34.02239,-86.04354000000001,Jack's Family Restaurants,35904,AL
Gadsden,US,33.917840000000005,-86.02192,Subway,35907,AL
Gadsden,US,34.00841,-85.99391,Jack's,35903,AL
Jacksonville,US,33.806909999999995,-85.76127,Pizza Hut,36265,AL
Auburn,US,32.60692,-85.48642,Chick-fil-A,36832,AL
Huntsville,US,34.763690000000004,-86.59461,Cook-Out,35810,AL
Huntsville,US,34.73679,-86.62714,Jack's,35816,AL
Huntsville,US,34.66134,-86.54042,Terrys Pizza,35802,AL
Huntsville,US,34.74754,-86.59498,Rolands Cajun Catering,35801,AL
Huntsville,US,34.692809999999994,-86.5696,McAlister's Deli,35802,AL
Huntsville,US,34.743491999999996,-86.67781,Jason's Deli,35806,AL
Huntsville,US,34.67589,-86.5415,Jimmy John's,35802,AL
Huntsville,US,34.74458,-86.67318,McAlister's Deli,35806,AL
Huntsville,US,34.735490000000006,-86.63676,Quiznos,35816,AL
Huntsville,US,34.66429,-86.75312,Jack's Family Restaurants,35824,AL
Huntsville,US,34.697720000000004,-86.60791,Dairy Queen,35805,AL
Huntsville,US,34.73907,-86.57661999999999,Hardee's,35801,AL
Huntsville,US,34.72041,-86.59055,Checkers,35801,AL
Huntsville,US,34.71197,-86.61021,Sonic Drive-In,35805,AL
Dayton,US,39.7019,-84.1234,Subway,45420,OH
Indianapolis,US,39.8265,-86.0105,Pizza Hut,46226,IN
Montgomery,US,32.32548,-86.32813,McDonald's,36105,AL
Montgomery,US,32.360490000000006,-86.1653,Panera Bread,36117,AL
Mobile,US,30.68957,-88.17268,Mellow Mushroom,36608,AL
Mobile,US,30.68177,-88.22596999999999,Moe's Southwest Grill,36695,AL
Mobile,US,30.6487,-88.15908,McDonald's,36609,AL
Mobile,US,30.639640000000004,-88.13914,Sonic Drive-In,36693,AL
Mobile,US,30.592229999999997,-88.17015,Burger King,36619,AL
Mobile,US,30.670920000000002,-88.13297,Sonic Drive-In,36609,AL
Modesto,US,37.6386,-120.9367,Fat Wong Chinese Food To Go,95354,CA
Birmingham,US,33.42977,-86.70878,Arby's,35242,AL
Birmingham,US,33.42794,-86.70769,Chick-fil-A,35242,AL
Birmingham,US,33.42237,-86.69893,Chipotle Mexican Grill,35242,AL
Birmingham,US,33.51327,-86.80574,Sol's Sandwich Shop and Deli,35203,AL
Birmingham,US,33.49907,-86.79597,Mellow Mushroom,35205,AL
North Little Rock,US,34.7556,-92.2614,McDonald's,72114,AR
Surprise,US,33.6383,-112.3591,Chipotle Mexican Grill,85374,AZ
Nashville,US,33.97157,-93.82483,Fisherman's Cove,71852,AR
Crown Point,US,41.4205,-87.2392,Subway,46307,IN
Chicago,US,41.9307,-87.6876,Burger King,60647,IL
Winfield,US,33.93823,-87.84115,Sonic Drive-In,35594,AL
Gainesville,US,29.6179,-82.3836,Burger King,32608,FL
Warrior,US,33.81765,-86.80712,Domino's Pizza,35180,AL
Sheridan,US,34.28972,-92.39836,Burger King,72150,AR
Van Nuys,US,34.2208,-118.4719,Taco Bell,91406,CA
Trumann,US,35.67839,-90.54888000000001,Pizza Pro,72472,AR
Goodyear,US,33.4854,-112.3655,Whataburger,85395,AZ
Alpharetta,US,34.0498,-84.2869,Taco Bell,30022,GA
Clinton Township,US,42.6121,-82.9726,Jimmy John's,48038,MI
New Lebanon,US,39.7459,-84.4101,Dairy Queen,45345,OH
Gary,US,41.591,-87.3374,Subway,46407,IN
Mishawaka,US,41.6932,-86.1873,Subway,46545,IN
Covington,US,39.0948,-84.5454,Pizza Hut,41016,KY
Indianapolis,US,39.7013,-86.08200000000001,Pizza Hut,46203,IN
Hillside,US,41.868,-87.8829,Panda Express,60162,IL
Crawfordville,US,30.1784,-84.3756,Hardee's,32327,FL
Gainesville,US,29.6858,-82.3397,KFC,32609,FL
Tucson,US,32.1784,-110.9182,Burger King,85713,AZ
Brinkley,US,34.90503,-91.1979,McDonald's,72021,AR
Highland,US,41.5372,-87.461,Wendy's,46322,IN
Wailuku,US,20.8879,-156.5008,Subway,96793,HI
Chatham,US,39.6766,-89.7046,Subway,62629,IL
Champaign,US,40.1278,-88.2749,Domino's Pizza,61821,IL
Dardanelle,US,35.22098,-93.16306,Burger King,72834,AR
Crossett,US,33.13505,-91.96268,Taco Bell,71635,AR
Los Angeles,US,34.0883,-118.3088,Taco Bell,90029,CA
Calico Rock,US,36.12925,-92.13006,Subway,72519,AR
Little Rock,US,34.7543,-92.4044,KFC,72211,AR
Tucson,US,32.3088,-110.8469,Subway,85750-0892,AZ
Memphis,US,35.149190000000004,-90.04758000000001,Subway,38103,TN
Stamps,US,33.36558,-93.4851,Sonic Drive-In,71860,AR
Hot Springs National Park,US,34.4484,-93.07936,Chick-Fil-A,71913,AR
Clarksville,US,35.45033,-93.46146999999999,Arby's,72830,AR
Van Buren,US,35.46017,-94.35731,Subway,72956,AR
Blue Island,US,41.6768,-87.681,McDonald's,60406,IL
Sherwood,US,34.83044,-92.18308,Taco Bell,72120,AR
Lafayette Hill,US,40.0914,-75.2593,Tonelli's Takeout,19444-1815,PA
Jacksonville,US,34.881985,-92.13043,Popeyes Louisiana Kitchen,72076,AR
Tallahassee,US,30.4598,-84.225,Checkers,32308,FL
Naples,US,26.1553,-81.6891,Taco Bell,34116,FL
El Dorado,US,33.236270000000005,-92.66566,Subway,71730,AR
Tampa,US,27.9631,-82.5054,Jimmy John's,33607,FL
Little Rock,US,34.744040000000005,-92.27566,Subway,72201,AR
North Little Rock,US,34.78954,-92.21519,Popeyes Louisiana Kitchen,72117,AR
Springdale,US,36.16773,-94.11205,Taco Bell,72764,AR
Springdale,US,36.17447,-94.14027,Long John Silver's,72764,AR
Pine Bluff,US,34.19298,-92.06145,McDonald's,71603,AR
Fayetteville,US,36.05859,-94.16417,Pizza Hut,72701,AR
Fayetteville,US,36.13308,-94.14768000000001,Sonic Drive-In,72704,AR
Norco,US,33.8993,-117.5631,Taco Bell,92860,CA
Tucson,US,32.2879,-110.9788,McDonald's,85705,AZ
Grandville,US,42.8793,-85.7557,Panera Bread,49418,MI
Jonesboro,US,35.80472,-90.67811,Steak 'n Shake,72404,AR
Jonesboro,US,35.816590000000005,-90.67015,Wings To Go,72401,AR
Valparaiso,US,41.4671,-87.0394,Subway,46383,IN
Anderson,US,34.4803,-82.6475,Taco Bell,29624,SC
Joliet,US,41.5232,-88.1196,McDonald's,60435,IL
Des Plaines,US,42.0455,-87.8851,White Castle,60016,IL
Little Rock,US,34.75209,-92.32265,Taco Bell,72205,AR
Little Rock,US,34.7111,-92.40663,Taco Bell,72210,AR
Little Rock,US,34.752520000000004,-92.37496999999999,Taco Bueno,72205,AR
Little Rock,US,34.76077,-92.38020999999999,Taco Bell,72227,AR
Russellville,US,35.35544,-93.12365,Sonic Drive-In,72802,AR
Melbourne,US,28.1294,-80.6299,Subway,32935,FL
Ocala,US,29.1968,-82.1514,Manhattan Subs & Gyros,34475,FL
Texarkana,US,33.46667,-94.04323000000001,Burger King,75503,TX
Hudson,US,40.0775,-104.6487,Carl's Jr.,80642,CO
Conway,US,35.06969,-92.46013,Andy's Frozen Custard,72034,AR
