"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"881099","2003","US","All States, DC and Territories (median) **","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","7.2","**","Median value reported with no confidence intervals","","","54","Overall","Overall","DIABETES","1","1","","","","","",""
"881100","2003","US","All States, DC and Territories (median) **","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes, pregnancy-related","BRFSS","%","Crude Prevalence","0.7","**","Median value reported with no confidence intervals","","","54","Overall","Overall","DIABETES","1","1","","","","","",""
"881101","2003","US","All States, DC and Territories (median) **","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","No","BRFSS","%","Crude Prevalence","92.0","**","Median value reported with no confidence intervals","","","54","Overall","Overall","DIABETES","1","1","","","","","",""
"880897","2003","UW","All States and DC (median) **","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","7.1","**","Median value reported with no confidence intervals","","","51","Overall","Overall","DIABETES","2","2","","","","","",""
"880898","2003","UW","All States and DC (median) **","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes, pregnancy-related","BRFSS","%","Crude Prevalence","0.7","**","Median value reported with no confidence intervals","","","51","Overall","Overall","DIABETES","2","2","","","","","",""
"880899","2003","UW","All States and DC (median) **","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","No","BRFSS","%","Crude Prevalence","92.1","**","Median value reported with no confidence intervals","","","51","Overall","Overall","DIABETES","2","2","","","","","",""
"876829","2003","AL","Alabama","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","8.7","","","7.6","9.8","336","Overall","Overall","DIABETES","3","3","","","","","",""
"876830","2003","AL","Alabama","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes, pregnancy-related","BRFSS","%","Crude Prevalence","0.9","","","0.5","1.3","32","Overall","Overall","DIABETES","3","3","","","","","",""
"876831","2003","AL","Alabama","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","No","BRFSS","%","Crude Prevalence","90.3","","","89.2","91.4","2966","Overall","Overall","DIABETES","3","3","","","","","",""
"879069","2003","AK","Alaska","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes","BRFSS","%","Crude Prevalence","5.0","","","3.8","6.2","124","Overall","Overall","DIABETES","4","4","","","","","",""
"879070","2003","AK","Alaska","Chronic Health Indicators","Diabetes","Have you ever been told by a doctor that you have diabetes?","Yes, pregnancy-related","BRFSS","%","Crude Prevalence","1.7","","","1.1","2.3","55","Overall","Overall","DIABETES","4","4","","","","","",""
