"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"881097","2003","US","All States, DC and Territories (median) **","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","76.9","**","Median value reported with no confidence intervals","","","54","Overall","Overall","_TOTINDA","1","1","","","","","",""
"881098","2003","US","All States, DC and Territories (median) **","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","23.1","**","Median value reported with no confidence intervals","","","54","Overall","Overall","_TOTINDA","1","1","","","","","",""
"880895","2003","UW","All States and DC (median) **","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","77.3","**","Median value reported with no confidence intervals","","","51","Overall","Overall","_TOTINDA","2","2","","","","","",""
"880896","2003","UW","All States and DC (median) **","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","22.7","**","Median value reported with no confidence intervals","","","51","Overall","Overall","_TOTINDA","2","2","","","","","",""
"876524","2003","AL","Alabama","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","70.1","","","68.3","71.9","2301","Overall","Overall","_TOTINDA","3","3","","","","","",""
"876525","2003","AL","Alabama","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","29.9","","","28.1","31.7","1036","Overall","Overall","_TOTINDA","3","3","","","","","",""
"878318","2003","AK","Alaska","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","80.8","","","78.7","82.9","2121","Overall","Overall","_TOTINDA","4","4","","","","","",""
"878319","2003","AK","Alaska","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","19.2","","","17.1","21.3","540","Overall","Overall","_TOTINDA","4","4","","","","","",""
"881685","2003","AZ","Arizona","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","78.8","","","76.7","80.9","2510","Overall","Overall","_TOTINDA","5","5","","","","","",""
"881686","2003","AZ","Arizona","Physical Activity","Exercise","During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","21.2","","","19.1","23.3","719","Overall","Overall","_TOTINDA","5","5","","","","","",""
