"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3649063","2019","US","All States, DC and Territories (median) **","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","32.3","","","","","52","Overall","Overall","_RFHYPE5","1","1","","","","","",""
"3649064","2019","US","All States, DC and Territories (median) **","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","67.7","","","","","52","Overall","Overall","_RFHYPE5","1","1","","","","","",""
"3648892","2019","UW","All States and DC (median) **","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","32.3","","","","","50","Overall","Overall","_RFHYPE5","2","2","","","","","",""
"3648893","2019","UW","All States and DC (median) **","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","67.7","","","","","50","Overall","Overall","_RFHYPE5","2","2","","","","","",""
"3429385","2019","AL","Alabama","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","42.5","","","41.0","44.0","3608","Overall","Overall","_RFHYPE5","3","3","","","","","",""
"3429411","2019","AL","Alabama","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","57.5","","","56.0","59.0","3427","Overall","Overall","_RFHYPE5","3","3","","","","","",""
"3433668","2019","AK","Alaska","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","32.9","","","30.3","35.4","1169","Overall","Overall","_RFHYPE5","4","4","","","","","",""
"3433694","2019","AK","Alaska","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","67.2","","","64.6","69.7","1798","Overall","Overall","_RFHYPE5","4","4","","","","","",""
"3437951","2019","AZ","Arizona","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","32.5","","","30.9","34.1","3714","Overall","Overall","_RFHYPE5","5","5","","","","","",""
"3437977","2019","AZ","Arizona","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","67.5","","","65.9","69.1","5198","Overall","Overall","_RFHYPE5","5","5","","","","","",""
"3442234","2019","AR","Arkansas","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","Yes","BRFSS","%","Crude Prevalence","41.0","","","39.1","42.8","2842","Overall","Overall","_RFHYPE5","6","6","","","","","",""
"3442260","2019","AR","Arkansas","Hypertension Awareness","High Blood Pressure","Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions)","No","BRFSS","%","Crude Prevalence","59.0","","","57.2","60.9","2503","Overall","Overall","_RFHYPE5","6","6","","","","","",""
