"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"522741","2006","US","All States, DC and Territories (median) **","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","9.0","**","Median value reported with no confidence intervals","","","53","Overall","Overall","INCOME","1","1","","","","","",""
"522742","2006","US","All States, DC and Territories (median) **","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","15.7","**","Median value reported with no confidence intervals","","","53","Overall","Overall","INCOME","1","1","","","","","",""
"522743","2006","US","All States, DC and Territories (median) **","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","12.9","**","Median value reported with no confidence intervals","","","53","Overall","Overall","INCOME","1","1","","","","","",""
"522744","2006","US","All States, DC and Territories (median) **","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","16.6","**","Median value reported with no confidence intervals","","","53","Overall","Overall","INCOME","1","1","","","","","",""
"522745","2006","US","All States, DC and Territories (median) **","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","44.6","**","Median value reported with no confidence intervals","","","53","Overall","Overall","INCOME","1","1","","","","","",""
"522386","2006","UW","All States and DC (median) **","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","9.0","**","Median value reported with no confidence intervals","","","51","Overall","Overall","INCOME","2","2","","","","","",""
"522387","2006","UW","All States and DC (median) **","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","15.5","**","Median value reported with no confidence intervals","","","51","Overall","Overall","INCOME","2","2","","","","","",""
"522388","2006","UW","All States and DC (median) **","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","12.7","**","Median value reported with no confidence intervals","","","51","Overall","Overall","INCOME","2","2","","","","","",""
"522389","2006","UW","All States and DC (median) **","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","16.6","**","Median value reported with no confidence intervals","","","51","Overall","Overall","INCOME","2","2","","","","","",""
"522390","2006","UW","All States and DC (median) **","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","45.8","**","Median value reported with no confidence intervals","","","51","Overall","Overall","INCOME","2","2","","","","","",""
"519669","2006","AL","Alabama","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","13.2","","","11.7","14.7","469","Overall","Overall","INCOME","3","3","","","","","",""
"519832","2006","AL","Alabama","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","20.9","","","18.7","23.1","559","Overall","Overall","INCOME","3","3","","","","","",""
"519833","2006","AL","Alabama","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","12.2","","","10.6","13.8","336","Overall","Overall","INCOME","3","3","","","","","",""
"519834","2006","AL","Alabama","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","15.4","","","13.6","17.2","421","Overall","Overall","INCOME","3","3","","","","","",""
"519835","2006","AL","Alabama","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","38.3","","","35.9","40.7","955","Overall","Overall","INCOME","3","3","","","","","",""
"521555","2006","AK","Alaska","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","6.7","","","5.3","8.1","165","Overall","Overall","INCOME","4","4","","","","","",""
"521556","2006","AK","Alaska","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","11.4","","","9.2","13.6","220","Overall","Overall","INCOME","4","4","","","","","",""
"521557","2006","AK","Alaska","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","9.8","","","8.0","11.6","217","Overall","Overall","INCOME","4","4","","","","","",""
"521558","2006","AK","Alaska","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","16.1","","","13.5","18.7","299","Overall","Overall","INCOME","4","4","","","","","",""
"521559","2006","AK","Alaska","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","56.1","","","52.9","59.3","981","Overall","Overall","INCOME","4","4","","","","","",""
"524518","2006","AZ","Arizona","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","9.7","","","8.0","11.4","534","Overall","Overall","INCOME","5","5","","","","","",""
"524519","2006","AZ","Arizona","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","15.5","","","13.3","17.7","840","Overall","Overall","INCOME","5","5","","","","","",""
"524520","2006","AZ","Arizona","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","12.3","","","10.3","14.3","569","Overall","Overall","INCOME","5","5","","","","","",""
"524521","2006","AZ","Arizona","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","14.7","","","12.6","16.8","664","Overall","Overall","INCOME","5","5","","","","","",""
"524522","2006","AZ","Arizona","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","47.8","","","44.8","50.8","1504","Overall","Overall","INCOME","5","5","","","","","",""
"526820","2006","AR","Arkansas","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","13.2","","","11.9","14.5","724","Overall","Overall","INCOME","6","6","","","","","",""
"526821","2006","AR","Arkansas","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","18.9","","","17.5","20.3","984","Overall","Overall","INCOME","6","6","","","","","",""
"526822","2006","AR","Arkansas","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","13.2","","","12.0","14.4","644","Overall","Overall","INCOME","6","6","","","","","",""
"526823","2006","AR","Arkansas","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","16.5","","","15.2","17.8","809","Overall","Overall","INCOME","6","6","","","","","",""
"526824","2006","AR","Arkansas","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","38.2","","","36.5","39.9","1664","Overall","Overall","INCOME","6","6","","","","","",""
"528523","2006","CA","California","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","17.4","","","15.9","18.9","780","Overall","Overall","INCOME","7","7","","","","","",""
"528524","2006","CA","California","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","15.1","","","13.7","16.5","681","Overall","Overall","INCOME","7","7","","","","","",""
"528525","2006","CA","California","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","10.8","","","9.5","12.1","511","Overall","Overall","INCOME","7","7","","","","","",""
"528526","2006","CA","California","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","12.2","","","11.1","13.3","692","Overall","Overall","INCOME","7","7","","","","","",""
"528527","2006","CA","California","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","44.6","","","42.8","46.4","2532","Overall","Overall","INCOME","7","7","","","","","",""
"530371","2006","CO","Colorado","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","7.6","","","6.7","8.5","460","Overall","Overall","INCOME","8","8","","","","","",""
"530372","2006","CO","Colorado","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","13.5","","","12.3","14.7","694","Overall","Overall","INCOME","8","8","","","","","",""
"530373","2006","CO","Colorado","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","10.8","","","9.8","11.8","632","Overall","Overall","INCOME","8","8","","","","","",""
"530374","2006","CO","Colorado","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","14.9","","","13.8","16.0","850","Overall","Overall","INCOME","8","8","","","","","",""
"530375","2006","CO","Colorado","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","53.2","","","51.6","54.8","2774","Overall","Overall","INCOME","8","8","","","","","",""
"533509","2006","CT","Connecticut","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","6.1","","","5.4","6.8","632","Overall","Overall","INCOME","9","9","","","","","",""
"533510","2006","CT","Connecticut","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","10.4","","","9.5","11.3","905","Overall","Overall","INCOME","9","9","","","","","",""
"533511","2006","CT","Connecticut","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","9.0","","","8.1","9.9","743","Overall","Overall","INCOME","9","9","","","","","",""
"533512","2006","CT","Connecticut","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","12.5","","","11.5","13.5","970","Overall","Overall","INCOME","9","9","","","","","",""
"533513","2006","CT","Connecticut","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","62.2","","","60.7","63.7","3877","Overall","Overall","INCOME","9","9","","","","","",""
"536064","2006","DE","Delaware","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","9.9","","","8.4","11.4","402","Overall","Overall","INCOME","10","10","","","","","",""
"536065","2006","DE","Delaware","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","7.6","","","6.4","8.8","359","Overall","Overall","INCOME","10","10","","","","","",""
"536066","2006","DE","Delaware","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","8.3","","","7.0","9.6","349","Overall","Overall","INCOME","10","10","","","","","",""
"536067","2006","DE","Delaware","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","15.2","","","13.5","16.9","564","Overall","Overall","INCOME","10","10","","","","","",""
"536068","2006","DE","Delaware","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","59.0","","","56.6","61.4","1704","Overall","Overall","INCOME","10","10","","","","","",""
"538086","2006","DC","District of Columbia","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","12.2","","","10.6","13.8","358","Overall","Overall","INCOME","11","11","","","","","",""
"538087","2006","DC","District of Columbia","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","12.5","","","11.0","14.0","371","Overall","Overall","INCOME","11","11","","","","","",""
"538088","2006","DC","District of Columbia","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","11.3","","","9.8","12.8","319","Overall","Overall","INCOME","11","11","","","","","",""
"538089","2006","DC","District of Columbia","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","12.2","","","10.8","13.6","417","Overall","Overall","INCOME","11","11","","","","","",""
"538090","2006","DC","District of Columbia","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","51.8","","","49.7","53.9","1999","Overall","Overall","INCOME","11","11","","","","","",""
"540409","2006","FL","Florida","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","8.0","","","7.2","8.8","974","Overall","Overall","INCOME","12","12","","","","","",""
"540410","2006","FL","Florida","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","19.2","","","18.0","20.4","1869","Overall","Overall","INCOME","12","12","","","","","",""
"540411","2006","FL","Florida","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","15.3","","","14.1","16.5","1388","Overall","Overall","INCOME","12","12","","","","","",""
"540412","2006","FL","Florida","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","15.8","","","14.7","16.9","1522","Overall","Overall","INCOME","12","12","","","","","",""
"540413","2006","FL","Florida","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","41.8","","","40.3","43.3","3371","Overall","Overall","INCOME","12","12","","","","","",""
"543043","2006","GA","Georgia","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","9.2","","","8.3","10.1","764","Overall","Overall","INCOME","13","13","","","","","",""
"543044","2006","GA","Georgia","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","15.7","","","14.4","17.0","1047","Overall","Overall","INCOME","13","13","","","","","",""
"543045","2006","GA","Georgia","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","11.5","","","10.4","12.6","783","Overall","Overall","INCOME","13","13","","","","","",""
