"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"3377818","2018","US","All States, DC and Territories (median) **","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","48.8","","","","","53","Overall","Overall","SEX","1","1","","","","","",""
"3377819","2018","US","All States, DC and Territories (median) **","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","51.3","","","","","53","Overall","Overall","SEX","1","1","","","","","",""
"3377652","2018","UW","All States and DC (median) **","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","48.8","","","","","51","Overall","Overall","SEX","2","2","","","","","",""
"3377653","2018","UW","All States and DC (median) **","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","51.3","","","","","51","Overall","Overall","SEX","2","2","","","","","",""
"3163085","2018","AL","Alabama","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","47.8","","","46.1","49.4","2721","Overall","Overall","SEX","3","3","","","","","",""
"3163109","2018","AL","Alabama","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","52.2","","","50.6","53.9","3885","Overall","Overall","SEX","3","3","","","","","",""
"3166525","2018","AK","Alaska","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","52.5","","","49.8","55.2","1381","Overall","Overall","SEX","4","4","","","","","",""
"3166549","2018","AK","Alaska","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","47.5","","","44.8","50.2","1377","Overall","Overall","SEX","4","4","","","","","",""
"3170589","2018","AZ","Arizona","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","49.3","","","47.5","51.1","3685","Overall","Overall","SEX","5","5","","","","","",""
"3170613","2018","AZ","Arizona","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","50.8","","","49.0","52.6","4404","Overall","Overall","SEX","5","5","","","","","",""
"3175053","2018","AR","Arkansas","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","48.6","","","46.6","50.6","1977","Overall","Overall","SEX","6","6","","","","","",""
"3175077","2018","AR","Arkansas","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","51.4","","","49.4","53.4","3383","Overall","Overall","SEX","6","6","","","","","",""
"3179349","2018","CA","California","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","49.2","","","48.0","50.4","6105","Overall","Overall","SEX","7","7","","","","","",""
"3179050","2018","CA","California","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","50.8","","","49.6","52.0","5814","Overall","Overall","SEX","7","7","","","","","",""
"3183039","2018","CO","Colorado","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","49.9","","","48.7","51.2","4319","Overall","Overall","SEX","8","8","","","","","",""
"3183369","2018","CO","Colorado","Demographics","Sex","Gender of respondent","Female","BRFSS","%","Crude Prevalence","50.1","","","48.8","51.3","4580","Overall","Overall","SEX","8","8","","","","","",""
"3186746","2018","CT","Connecticut","Demographics","Sex","Gender of respondent","Male","BRFSS","%","Crude Prevalence","48.2","","","46.9","49.6","4731","Overall","Overall","SEX","9","9","","","","","",""
