State,province,Most Gyms in State,Total,Population (2016),People Per Gym,"Gyms per Capita (100,000)"
Alabama,AL,CrossFit,268,0,"18,146.64",5
Alaska,AK,CrossFit,46,0,"16,128.13",6
Arizona,AZ,CrossFit,330,0,"21,003.25",4
Arkansas,AR,CrossFit,134,0,"22,300.36",4
California,CA,CrossFit,0,0,"22,112.69",4
Colorado,CO,CrossFit,394,0,"14,062.30",7
Connecticut,CT,CrossFit,272,0,"13,148.72",7
Delaware,DE,CrossFit,60,0,"15,867.75",6
District of Columbia,DC,CrossFit,34,0,"20,034.41",4
Florida,FL,CrossFit,0,0,"20,428.58",4
Georgia,GA,CrossFit,587,0,"17,564.52",5
Hawaii,HI,CrossFit,81,0,"17,636.51",5
Idaho,ID,CrossFit,102,0,"16,501.37",6
Illinois,IL,CrossFit,674,0,"18,993.38",5
Indiana,IN,Anytime Fitness,403,0,"16,459.19",6
Iowa,IA,Anytime Fitness,232,0,"13,511.61",7
Kansas,KS,Anytime Fitness,164,0,"17,727.37",5
Kentucky,KY,CrossFit,219,0,"20,260.16",4
Louisiana,LA,Anytime Fitness,340,0,"13,769.61",7
Maine,ME,CrossFit,78,0,"17,070.24",5
Maryland,MD,CrossFit,270,0,"22,283.14",4
Massachusetts,MA,CrossFit,412,0,"16,533.44",6
Michigan,MI,CrossFit,516,0,"19,240.89",5
Minnesota,MN,Snap Fitness,571,0,"9,667.17",10
Mississippi,MS,CrossFit,136,0,"21,975.93",4
Missouri,MO,CrossFit,329,0,"18,519.76",5
Montana,MT,CrossFit,59,0,"17,669.83",5
Nebraska,NE,YMCA,135,0,"14,126.79",7
Nevada,NV,CrossFit,142,0,"20,704.63",4
New Hampshire,NH,CrossFit,97,0,"13,760.77",7
New Jersey,NJ,CrossFit,405,0,"22,085.11",4
New Mexico,NM,CrossFit,100,0,"20,810.15",4
New York,NY,CrossFit,615,0,"32,106.16",3
North Carolina,NC,CrossFit,451,0,"22,498.42",4
North Dakota,ND,Anytime Fitness,52,0,"14,576.00",6
Ohio,OH,CrossFit,598,0,"19,422.03",5
Oklahoma,OK,CrossFit,179,0,"21,919.34",4
Oregon,OR,CrossFit,226,0,"18,112.68",5
Pennsylvania,PA,CrossFit,674,0,"18,967.70",5
Rhode Island,RI,CrossFit and YMCA,76,0,"13,900.34",7
South Carolina,SC,CrossFit,267,0,"18,580.97",5
South Dakota,SD,Curves,60,0,"14,424.23",6
Tennessee,TN,CrossFit,342,0,"19,447.94",5
Texas,TX,CrossFit,0,0,"19,774.73",5
Utah,UT,CrossFit,165,0,"18,492.22",5
Vermont,VT,CrossFit,33,0,"18,927.09",5
Virginia,VA,CrossFit,571,0,"14,731.71",6
Washington,WA,CrossFit,467,0,"15,606.00",6
West Virginia,WV,CrossFit,83,0,"22,061.47",4
Wisconsin,WI,Anytime Fitness,431,0,"13,407.68",7
Wyoming,WY,CrossFit,36,0,"16,263.92",6
