province,With_Diabetes,num_restaurants,State,Most Gyms in State,Total,Population (2016),People Per Gym,"Gyms per Capita (100,000)"
AK,27.369887278582926,14.0,Alaska,CrossFit,46,"741,894","16,128.13",6.2
AL,27.20352,236.0,Alabama,CrossFit,268,"4,863,300","18,146.64",5.51
AR,27.243750000000002,151.0,Arkansas,CrossFit,134,"2,988,248","22,300.36",4.48
AZ,27.24503205128206,208.0,Arizona,CrossFit,330,"6,931,071","21,003.25",4.76
CA,27.199679999999994,676.0,California,CrossFit,"1,775","39,250,017","22,112.69",4.52
CO,27.200640000000007,158.0,Colorado,CrossFit,394,"5,540,545","14,062.30",7.11
CT,27.20208,96.0,Connecticut,CrossFit,272,"3,576,452","13,148.72",7.61
DC,27.372463768115935,21.0,District of Columbia,CrossFit,34,"681,170","20,034.41",4.99
DE,27.2048,32.0,Delaware,CrossFit,60,"952,065","15,867.75",6.3
FL,27.204479999999993,471.0,Florida,CrossFit,"1,009","20,612,439","20,428.58",4.9
GA,27.200960000000002,347.0,Georgia,CrossFit,587,"10,310,371","17,564.52",5.69
GU,27.378058252427195,,,,,,,
HI,27.26103678929764,40.0,Hawaii,CrossFit,81,"1,428,557","17,636.51",5.67
IA,27.201599999999996,166.0,Iowa,Anytime Fitness,232,"3,134,693","13,511.61",7.4
ID,27.202559999999988,99.0,Idaho,CrossFit,102,"1,683,140","16,501.37",6.06
IL,27.201119999999996,363.0,Illinois,CrossFit,674,"12,801,539","18,993.38",5.26
IN,27.202719999999996,379.0,Indiana,Anytime Fitness,403,"6,633,053","16,459.19",6.08
KS,27.202080000000016,103.0,Kansas,Anytime Fitness,164,"2,907,289","17,727.37",5.64
KY,27.202879999999983,332.0,Kentucky,CrossFit,219,"4,436,974","20,260.16",4.94
LA,27.20240000000001,237.0,Louisiana,Anytime Fitness,340,"4,681,666","13,769.61",7.26
MA,27.201759999999993,131.0,Massachusetts,CrossFit,412,"6,811,779","16,533.44",6.05
MD,27.202399999999987,159.0,Maryland,CrossFit,270,"6,016,447","22,283.14",4.49
ME,27.202720000000017,44.0,Maine,CrossFit,78,"1,331,479","17,070.24",5.86
MI,27.202879999999993,251.0,Michigan,CrossFit,516,"9,928,300","19,240.89",5.2
MN,27.203200000000006,148.0,Minnesota,Snap Fitness,571,"5,519,952","9,667.17",10.34
MO,27.203200000000006,334.0,Missouri,CrossFit,329,"6,093,000","18,519.76",5.4
MS,27.203680000000016,82.0,Mississippi,CrossFit,136,"2,988,726","21,975.93",4.55
MT,27.20208000000001,25.0,Montana,CrossFit,59,"1,042,520","17,669.83",5.66
NC,27.20207999999999,358.0,North Carolina,CrossFit,451,"10,146,788","22,498.42",4.44
ND,27.20383999999999,50.0,North Dakota,Anytime Fitness,52,"757,952","14,576.00",6.86
NE,27.2032,92.0,Nebraska,YMCA,135,"1,907,116","14,126.79",7.08
NH,27.202399999999994,36.0,New Hampshire,CrossFit,97,"1,334,795","13,760.77",7.27
NJ,27.199831081081093,151.0,New Jersey,CrossFit,405,"8,944,469","22,085.11",4.53
NM,27.19984000000001,149.0,New Mexico,CrossFit,100,"2,081,015","20,810.15",4.81
NV,27.330225080385826,135.0,Nevada,CrossFit,142,"2,940,058","20,704.63",4.83
NY,27.20367999999998,269.0,New York,CrossFit,615,"19,745,289","32,106.16",3.11
OH,27.20448000000001,543.0,Ohio,CrossFit,598,"11,614,373","19,422.03",5.15
OK,27.20192000000001,208.0,Oklahoma,CrossFit,179,"3,923,561","21,919.34",4.56
OR,27.201599999999978,114.0,Oregon,CrossFit,226,"4,093,465","18,112.68",5.52
PA,27.20352000000003,283.0,Pennsylvania,CrossFit,674,"12,784,227","18,967.70",5.27
PR,27.33086816720258,,,,,,,
RI,27.20367999999998,24.0,Rhode Island,CrossFit and YMCA,76,"1,056,426","13,900.34",7.19
SC,27.205280000000016,238.0,South Carolina,CrossFit,267,"4,961,119","18,580.97",5.38
SD,27.290529695024095,105.0,South Dakota,Curves,60,"865,454","14,424.23",6.93
TN,27.201439999999998,245.0,Tennessee,CrossFit,342,"6,651,194","19,447.94",5.14
TX,27.2016,634.0,Texas,CrossFit,"1,409","27,862,596","19,774.73",5.06
US,27.048160000000014,,,,,,,
UT,27.20223999999998,159.0,Utah,CrossFit,165,"3,051,217","18,492.22",5.41
UW,27.056800000000006,,,,,,,
VA,27.20223999999999,327.0,Virginia,CrossFit,571,"8,411,808","14,731.71",6.79
VI,27.728613569321535,,,,,,,
VT,27.203200000000006,43.0,Vermont,CrossFit,33,"624,594","18,927.09",5.28
WA,27.2,209.0,Washington,CrossFit,467,"7,288,000","15,606.00",6.41
WI,27.330707395498386,186.0,Wisconsin,Anytime Fitness,431,"5,778,708","13,407.68",7.46
WV,27.201759999999986,93.0,West Virginia,CrossFit,83,"1,831,102","22,061.47",4.53
WY,27.200800000000005,41.0,Wyoming,CrossFit,36,"585,501","16,263.92",6.15
